url, team1, team2, win_toss, bat_or_bowl, outcome, win_game, date, day_n_night, ground, rain, duckworth_lewis, match_id, type_of_match
"espncricinfo-fc/1162096.html","","","","","","","Full Scorecard of Sri Lanka Under-19s vs Bangladesh Under-19s 2nd Youth Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1115781.html","","","","","","","Full Scorecard of New Zealand vs England 2nd Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1191339.html","","","","","","","Full Scorecard of South Africa Emerging Players vs Sri Lanka Emerging Team 2nd unofficial Test 2019 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1168120.html","","","","","","","Full Scorecard of Afghanistan vs Ireland Only Test 2019 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1122276.html","","","","","","","Full Scorecard of South Africa vs India 1st Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1187672.html","","","","","","","Full Scorecard of New Zealand vs England 2nd Test 2019 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1144995.html","","","","","","","Full Scorecard of Australia vs India 3rd Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1157383.html","","","","","","","Full Scorecard of New Zealand vs Pakistan 3rd Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1130744.html","","","","","","","Full Scorecard of Bangladesh vs Sri Lanka 1st Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1140387.html","","","","","","","Full Scorecard of Sri Lanka vs England 3rd Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1170377.html","","","","","","","Full Scorecard of Sri Lanka Under-19s vs Australia Under-19s Only Youth Test 2019 - Score Report ","0","","0","0","","FC"
